,access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width,poi,crime,poi_std,crime_std,trees,greenness_std
1206,,,"LINESTRING (699626.8954924252 5711470.691888154, 699607.3960292488 5711454.76938618)",footway,,0,,25.116,,,False,59847120,,,,742854925,742854939,,0,0,0.0,0.0,0,0.0
1207,,,"LINESTRING (699626.8954924252 5711470.691888154, 699602.7645817006 5711502.035199048, 699599.5313019387 5711504.580497056, 699595.7183640836 5711504.731148455)",footway,,0,,47.406000000000006,,,False,59847113,,,,742854925,742854912,,0,0,0.0,0.0,6,0.21692731163870044
1208,,,"LINESTRING (699656.8022586025 5711462.236554969, 699650.7755086964 5711470.094847651)",unclassified,,0,,9.888,20 mph,Bloomsbury Square,False,634314088,,,,742854934,742854954,,0,0,0.0,0.0,1,0.1255549414533228
1209,,,"LINESTRING (699656.8022586025 5711462.236554969, 699674.0600825589 5711441.379797374)",unclassified,,0,,27.027,20 mph,Bloomsbury Square,False,634314088,,,,742854934,2117475741,,0,0,0.0,0.0,1,0.08993925316323174
1210,,,"LINESTRING (699656.8022586025 5711462.236554969, 699648.9867548186 5711456.762166605, 699642.1553338059 5711451.348784939)",footway,,0,,18.214,,,False,59847122,,,,742854934,742854950,,0,0,0.0,0.0,3,0.2028547140740936
1211,,,"LINESTRING (699607.0786892952 5711391.318419842, 699590.1284810301 5711415.661746705)",unclassified,,0,1,29.621,20 mph,Bloomsbury Square,False,319017442,,,,5986562231,742854879,,1,0,0.06893955781484654,0.0,2,0.13886262042821915
1212,,,"LINESTRING (699607.3960292488 5711454.76938618, 699626.8954924252 5711470.691888154)",footway,,0,,25.116,,,False,59847120,,,,742854939,742854925,,0,0,0.0,0.0,0,0.0
1213,,,"LINESTRING (699607.3960292488 5711454.76938618, 699588.5637170369 5711438.66163894)",footway,,0,,24.725,,,False,59847120,,,,742854939,742854921,,0,36,0.0,0.2426760135626972,1,0.09231287450384734
1214,,,"LINESTRING (699607.3960292488 5711454.76938618, 699603.6616142266 5711459.633405607, 699582.4723124902 5711487.195140022)",footway,,0,,40.835,,,False,685539697,,,,742854939,742854958,,1,0,0.06317792503301912,0.0,1,0.08029032753856473
1215,,,"LINESTRING (699607.3960292488 5711454.76938618, 699623.8905258703 5711434.238772798, 699639.2314373546 5711415.132689583)",footway,,0,,50.757999999999996,,,False,685539697,,,,742854939,742854881,,0,0,0.0,0.0,4,0.17637396920999138
1216,,,"LINESTRING (699642.1553338059 5711451.348784939, 699626.8954924252 5711470.691888154)",footway,,0,,24.599,,,False,59847113,,,,742854950,742854925,,0,0,0.0,0.0,3,0.1849053161100772
1217,,,"LINESTRING (699642.1553338059 5711451.348784939, 699653.4962112735 5711436.617465854, 699655.3408361882 5711433.171259763, 699655.604577341 5711429.117207935, 699653.998833964 5711426.492871897, 699639.2314373546 5711415.132689583)",footway,,0,,48.18599999999999,,,False,59847113,,,,742854950,742854881,,0,0,0.0,0.0,10,0.2662170768697394
1218,,,"LINESTRING (699642.1553338059 5711451.348784939, 699648.9867548186 5711456.762166605, 699656.8022586025 5711462.236554969)",footway,,0,,18.214,,,False,59847122,,,,742854950,742854934,,0,0,0.0,0.0,3,0.2028547140740936
1219,,,"LINESTRING (699650.7755086964 5711470.094847651, 699624.2494512233 5711503.158888268)",unclassified,,0,1,42.323,20 mph,Bloomsbury Square,False,319017441,,,,742854954,742854884,,0,0,0.0,0.0,3,0.1590914475648212
1220,,,"LINESTRING (699650.7755086964 5711470.094847651, 699656.8022586025 5711462.236554969)",unclassified,,0,,9.888,20 mph,Bloomsbury Square,False,634314088,,,,742854954,742854934,,0,0,0.0,0.0,1,0.1255549414533228
1221,,,"LINESTRING (699650.7755086964 5711470.094847651, 699644.0517259365 5711463.182415323, 699642.256074124 5711461.853454367, 699635.8310305019 5711470.6537372, 699633.8996504043 5711469.419657306)","['steps', 'footway']",,0,,25.019000000000005,,,False,"[59847128, 59847123, 59847108]",,,,742854954,742854816,,0,0,0.0,0.0,2,0.14580224265795094
1222,,,"LINESTRING (699582.4723124902 5711487.195140022, 699577.2606890942 5711483.872212227, 699573.7910491163 5711482.889437431, 699569.6325894212 5711482.993111653, 699565.6384169096 5711483.15892848, 699563.0920682573 5711482.546540813, 699561.142929162 5711481.233842909)",footway,,0,,22.846,,,False,59847113,,,,742854958,742854822,,1,0,0.0743751724082859,0.0,5,0.24433186173039395
1223,,,"LINESTRING (699582.4723124902 5711487.195140022, 699586.5711077643 5711490.374077541, 699588.900745383 5711493.316389926, 699590.9328671908 5711496.581061951, 699591.813738577 5711500.501976216, 699593.6483855433 5711503.13529759, 699595.7183640836 5711504.731148455)",footway,,0,,22.587,,,False,59847113,,,,742854958,742854912,,1,0,0.07463215208635762,0.0,4,0.2202280345745882
1224,,,"LINESTRING (699582.4723124902 5711487.195140022, 699603.6616142266 5711459.633405607, 699607.3960292488 5711454.76938618)",footway,,0,,40.835,,,False,685539697,,,,742854958,742854939,,1,0,0.06317792503301912,0.0,1,0.08029032753856473
1225,,,"LINESTRING (698630.4848948398 5711748.495018828, 698628.3485488378 5711751.429037096, 698574.1371834319 5711826.140229276, 698571.7875729839 5711829.377707624)",residential,,0,,99.791,20 mph,Whitfield Street,False,4068455,,,,823599,820319,,0,0,0.0,0.0,7,0.19495739115040428
1226,,,"LINESTRING (698630.4848948398 5711748.495018828, 698632.9030949089 5711745.104354853, 698633.5500305523 5711744.194320666, 698634.0421684347 5711743.51206665)",unclassified,,0,,6.114,20 mph,Whitfield Street,False,"[30280396, 521790479]",,,,823599,5083584215,,1,0,0.12022515175943325,0.0,3,0.3055787858842649
1227,,,"LINESTRING (698630.4848948398 5711748.495018828, 698624.495932508 5711743.906634933, 698594.3411650399 5711720.82298977)",tertiary,,0,,45.412,20 mph,Howland Street,False,"[667569298, 587318293]",,,,823599,806521328,,0,0,0.0,0.0,7,0.2343542430498291
1228,,,"LINESTRING (698630.4848948398 5711748.495018828, 698637.9982824023 5711754.245493167, 698657.2675704065 5711768.985950921)",tertiary,,0,,33.641999999999996,20 mph,Howland Street,False,"[587318293, 687481231]",,,,823599,313181118,,0,0,0.0,0.0,3,0.16912666852758895
1229,,,"LINESTRING (699581.333961978 5711442.842538683, 699577.8389182147 5711441.268586629, 699576.1288081572 5711442.003067332, 699571.7524889921 5711443.935515615, 699560.969216947 5711457.920589751, 699556.9907965127 5711460.158220938)",service,,0,,32.635,,,False,"[59847121, 59847119]",,parking_aisle,yes,742854960,742854871,,0,36,0.0,0.22416907442689096,4,0.1979975824117584
1230,,,"LINESTRING (698710.7637335943 5711310.837030351, 698716.3473300571 5711313.193684913, 698725.8007966824 5711317.494697614, 698737.6624871923 5711322.212980458, 698741.5541268166 5711323.601432751, 698744.9957892619 5711324.77182683)",service,,0,,36.870000000000005,,Newman Passage,False,"[244963578, 10064546, 244963579]",,,yes,82710879,82710880,,3,4,0.12981793445699494,0.09665487420944248,0,0.0
1231,,,"LINESTRING (698710.7637335943 5711310.837030351, 698681.1037026654 5711375.295764887, 698679.3599604631 5711378.311957039, 698676.9100030398 5711381.267089699, 698643.0167176783 5711408.72471361, 698642.2106688075 5711409.439219427, 698640.6627410615 5711410.826202612, 698631.7983835244 5711415.968852973)",unclassified,,0,,135.092,30 mph,Newman Street,False,30273505,,,,82710879,107316,,4,0,0.11147600209177087,0.0,0,0.0
1232,,,"LINESTRING (698710.7637335943 5711310.837030351, 698747.9262935204 5711230.448176539, 698751.37954658 5711222.811006554)",unclassified,,0,,96.84400000000001,30 mph,Newman Street,False,30273505,,,,82710879,255578,,2,50,0.08157222561535551,0.18722438093264876,0,0.0
